zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
50060,Corydon,185,Wayne,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.7592,-93.3205,0.36235397,-0.01296473,0
50072,Earlham,121,Madison,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4974,-94.122,0.34825636,-0.00396747,0
50076,Exira,9,Audubon,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5907,-94.8732,0.33863871,-0.00549395,0
50112,Grinnell,157,Poweshiek,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7409,-92.7298,0.36352752,0.00608587,0
50124,Huxley,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8962,-93.6041,0.35212964,0.00493332,0
50140,Lamoni,53,Decatur,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.6209,-93.9402,0.35560577,-0.01796459,0
50144,Leon,53,Decatur,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.7321,-93.7419,0.35737493,-0.01524368,0
50156,Madrid,15,Boone,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8747,-93.8148,0.34973359,0.00368204,0
50160,Martensdale,181,Warren,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.3734,-93.7428,0.35356687,-0.00445666,0
50208,Newton,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7001,-93.0478,0.35997039,0.00401791,0
50212,Ogden,15,Boone,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0397,-94.034,0.34613688,0.00554684,0
50216,Panora,77,Guthrie,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7003,-94.3671,0.34411822,-0.00156389,0
